,spy,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2021-11-08,467.2699890136719,149.99000549316406,211.38999938964844,181.88999938964844,220.9600067138672,209.27000427246094,306.6499938964844,56.81999969482422,114.2300033569336,159.6300048828125,60.060001373291016,404.9100036621094,372.6300048828125,222.38999938964844,118.95999908447266,50.310001373291016,165.00999450683594,166.86000061035156,56.61000061035156,250.6699981689453,183.66000366210938,84.0,336.7200012207031,169.08999633789062,146.55999755859375,157.4199981689453,458.989990234375,212.08999633789062,52.34000015258789,49.540000915527344,147.75999450683594
2021-11-15,468.8900146484375,160.5500030517578,206.0800018310547,173.5399932861328,214.1300048828125,200.44000244140625,301.1700134277344,53.25,111.91000366210938,154.0,57.34000015258789,387.3900146484375,408.69000244140625,218.49000549316406,116.05000305175781,49.52000045776367,162.88999938964844,160.9199981689453,55.130001068115234,251.9499969482422,179.22999572753906,80.69999694824219,343.1099853515625,174.8800048828125,146.82000732421875,152.52999877929688,440.0,200.86000061035156,50.86000061035156,46.97999954223633,142.38999938964844
2021-11-22,458.9700012207031,156.80999755859375,201.08999633789062,156.82000732421875,199.2100067138672,198.72999572753906,284.2099914550781,54.66999816894531,114.51000213623047,148.11000061035156,57.599998474121094,389.3900146484375,402.70001220703125,208.2100067138672,115.80999755859375,48.779998779296875,159.1999969482422,161.92999267578125,53.72999954223633,250.00999450683594,175.52000427246094,79.16000366210938,329.67999267578125,168.02000427246094,147.47000122070312,153.66000366210938,439.9100036621094,197.64999389648438,51.79999923706055,45.900001525878906,144.89999389648438
2021-11-29,453.4200134277344,161.83999633789062,202.44000244140625,155.94000244140625,198.49000549316406,197.8000030517578,258.32000732421875,56.22999954223633,114.41000366210938,146.22000122070312,53.06999969482422,382.7300109863281,407.80999755859375,203.5,118.83999633789062,49.25,159.3800048828125,158.2899932861328,53.540000915527344,249.3300018310547,172.58999633789062,73.33999633789062,323.010009765625,170.24000549316406,149.8800048828125,149.16000366210938,449.32000732421875,196.32000732421875,51.41999816894531,46.529998779296875,137.50999450683594
2021-12-06,470.739990234375,179.4499969482422,210.88999938964844,167.02999877929688,205.05999755859375,203.4600067138672,266.0299987792969,59.25,118.33999633789062,152.7100067138672,54.68000030517578,391.05999755859375,415.3999938964844,209.80999755859375,124.08999633789062,50.59000015258789,165.49000549316406,159.82000732421875,56.279998779296875,264.9700012207031,177.10000610351562,72.62000274658203,342.5400085449219,169.05999755859375,155.4600067138672,154.25,478.2300109863281,213.39999389648438,50.189998626708984,49.5,141.02999877929688
2021-12-13,459.8699951171875,171.13999938964844,222.5,160.00999450683594,192.6300048828125,201.3699951171875,252.92999267578125,60.459999084472656,113.5999984741211,148.75999450683594,54.099998474121094,381.79998779296875,387.9800109863281,205.1699981689453,127.4000015258789,50.619998931884766,168.22999572753906,156.75999450683594,57.72999954223633,261.70001220703125,174.75,75.69000244140625,323.79998779296875,161.36000061035156,157.4600067138672,158.19000244140625,487.1199951171875,211.8800048828125,53.16999816894531,48.849998474121094,138.75
2021-12-20,470.6000061035156,176.27999877929688,223.7899932861328,164.19000244140625,204.22000122070312,206.1999969482422,253.13999938964844,62.279998779296875,116.41000366210938,153.6300048828125,55.13999938964844,385.0400085449219,397.07000732421875,205.22000122070312,130.6300048828125,51.310001373291016,168.25,157.25999450683594,58.220001220703125,265.95001220703125,174.97000122070312,75.7300033569336,334.69000244140625,165.6699981689453,160.10000610351562,154.64999389648438,495.3800048828125,216.6199951171875,52.68000030517578,50.47999954223633,139.49000549316406
2021-12-27,474.9599914550781,177.57000732421875,224.97000122070312,163.60000610351562,201.32000732421875,206.74000549316406,254.1300048828125,63.369998931884766,117.3499984741211,154.88999938964844,56.720001220703125,382.54998779296875,415.010009765625,208.50999450683594,133.66000366210938,51.5,171.07000732421875,158.35000610351562,59.209999084472656,268.07000732421875,177.6300048828125,76.63999938964844,336.32000732421875,166.6699981689453,163.5800018310547,156.42999267578125,502.1400146484375,216.7100067138672,51.959999084472656,52.15999984741211,144.69000244140625
2022-01-03,466.0899963378906,172.1699981689453,227.2899932861328,174.3800048828125,215.5,224.19000244140625,228.30999755859375,61.130001068115234,125.02999877929688,157.8300018310547,59.099998474121094,397.510009765625,393.6099853515625,215.75,134.8300018310547,53.439998626708984,173.9499969482422,167.16000366210938,60.33000183105469,267.05999755859375,179.9499969482422,80.30000305175781,314.0400085449219,156.97000122070312,162.74000549316406,166.24000549316406,458.6000061035156,216.9600067138672,54.2400016784668,53.84000015258789,144.88999938964844
2022-01-10,464.7200012207031,173.07000732421875,235.36000061035156,168.39999389648438,225.9600067138672,228.94000244140625,231.22999572753906,61.36000061035156,128.9600067138672,151.94000244140625,60.7400016784668,380.94000244140625,372.0,217.64999389648438,134.2100067138672,55.70000076293945,167.83999633789062,157.88999938964844,61.38999938964844,257.7099914550781,178.74000549316406,81.37999725341797,310.20001220703125,148.17999267578125,159.80999755859375,163.2100067138672,468.69000244140625,214.6699981689453,53.279998779296875,54.29999923706055,145.05999755859375
